Community Area Name,Community Area Number,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units,X Coordinate,Y Coordinate,Latitude,Longitude,Location,Historical Wards 2003-2015,Wards,Community Areas,Zip Codes,Census Tracts
Hyde Park,41,ARO,5432-44 S. Woodlawn,5432 S. Woodlawn Ave.,60615,312-480-0933,Chicago Apartment Finders,10,1185102.56133472,1869464.41313419,41.7969631559,-87.5967353133,"{'latitude': '41.7969631559', 'longitude': '-87.5967353133', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,33,8,21192,441
West Town,24,ARO,1611 West Division,1611 W. Division St.,60622,773-661-5500,M. Fishman & Co.,10,1165376.18806269,1908029.50476035,41.9032305014,-87.667978248,"{'latitude': '41.9032305014', 'longitude': '-87.667978248', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,41,25,21560,518
North Lawndale,29,Multifamily,Park Douglas,2652 W. 12th Pl,60608,773-893-4800,Interstate Realty Management Co.,4,1158622.39846527,1894325.45819992,41.8657664016,-87.6931618352,"{'latitude': '41.8657664016', 'longitude': '-87.6931618352', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,23,30,14920,16
East Garfield Park,27,Multifamily,Liberty Square Apts.,705-23 S. Independence Ave.,60624,773-538-3800,Bonheur Realty Services Corp.,66,1151407.46142205,1896705.239794,41.8724413776,-87.7195859945,"{'latitude': '41.8724413776', 'longitude': '-87.7195859945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,14,28,21572,704
Near South Side,33,Supportive Housing,The Studios,1801 S. Wabash St.,60616,312-326-5200,East Lake Management Co.,96,1177086.69778324,1891564.72019444,41.857792921,-87.6254623688,"{'latitude': '41.857792921', 'longitude': '-87.6254623688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,34,21194,374
Oakland,36,Multifamily,Lakefront Phase II,1106 E. 42nd Pl,60653,773-548-8795,"Urban Property Advisors, LLC",3,1184320.23695784,1877174.69935557,41.8181391197,-87.5993626833,"{'latitude': '41.8181391197', 'longitude': '-87.5993626833', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,10,2,4301,220
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3500 W. Ohio St.,60624,773-227-6332,Bickerdike Apts.,6,1152924.34344808,1903817.94850233,41.8919294934,-87.7138283059,"{'latitude': '41.8919294934', 'longitude': '-87.7138283059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,24,21572,584
West Town,24,Multifamily,Borinquen Bella Apts.,"1318,1456 N. Rockwell Ave.",60622,773-276-5338,LUCHA,24,1158786.70432399,1908791.0712498,41.905457998,-87.6921618816,"{'latitude': '41.905457998', 'longitude': '-87.6921618816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,49,25,21560,543
Grand Boulevard,38,Multifamily,Legends South - Mahalia Place,116 E. 43rd St.,60653,773-285-9500,Interstate Realty Management Co.,110,1178081.87526608,1876584.15614825,41.816662565,-87.6222647175,"{'latitude': '41.816662565', 'longitude': '-87.6222647175', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,4,4301,163
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,614 N. Spaulding Ave.,60624,773-227-6332,Bickerdike Apts.,6,1154224.5417618,1903987.91967607,41.8923700513,-87.7090486845,"{'latitude': '41.8923700513', 'longitude': '-87.7090486845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,24,21572,177
Woodlawn,42,Multifamily,Woodlawn-Michigan Development,6446 S. Kenwood Ave.,60637,312-226-2200,Wolcott Real Property LLC,33,1186141.36609384,1862376.5606601,41.7774890264,-87.5931497136,"{'latitude': '41.7774890264', 'longitude': '-87.5931497136', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,4,9,22260,27
Humboldt Park,23,Senior,LUCHA Affordable Units,3541 W. North Ave.,60647,312-276-5338,LUCHA,69,1152271.52454631,1910359.24074225,41.9098923382,-87.7160529794,"{'latitude': '41.9098923382', 'longitude': '-87.7160529794', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,49,24,22535,422
Near West Side,28,ARO,Milieu Apts.,205 S. Peoria St.,60607,312-983-7152,White Oak Realty Partners,7,,,,,,,,,,
Albany Park,14,Senior,Senior Suites of Ravenswood Manor,2800 W. Montrose Ave.,60618,773-509-9333,Senior Lifestyle Corp.,80,1156898.51394538,1929148.46097262,41.9613586525,-87.6985441744,"{'latitude': '41.9613586525', 'longitude': '-87.6985441744', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2,20,14,21538,258
North Lawndale,29,65+/Supportive,Montclare Sr. Residences SLF of Lawndale,4339-47 W. 18th Pl,60623,773-277-0288,Montclare Supportive Living,120,1147554.65735596,1890603.26432132,41.8557715313,-87.7338879,"{'latitude': '41.8557715313', 'longitude': '-87.7338879', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,14,30,21569,753
Rogers Park,1,Senior,Morse Senior Apts.,6928 N. Wayne Ave.,60626,312-602-6207,Morse Urban Dev.,44,1165843.89836178,1946058.5134415,42.0075737709,-87.6651711448,"{'latitude': '42.0075737709', 'longitude': '-87.6651711448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,5,10,21853,66
Englewood,68,Supportive/Veterans,Hope Manor II Apts.,6002 S. Halsted St.,60621,773-874-3610,Voluinteers of America Illinois,73,1171959.56514578,1864993.89431384,41.7849944939,-87.6450631449,"{'latitude': '41.7849944939', 'longitude': '-87.6450631449', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,2,66,21559,22
Montclare,18,ARO,2931-57 N. Harlem LLC,2931-57 N. Harlem Ave.,60707,708-867-3799,Zitella Development,5,1127615.0334749,1918797.88631997,41.9335002731,-87.8064419298,"{'latitude': '41.9335002731', 'longitude': '-87.8064419298', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",39,7,18,4454,397
Oakland,36,Multifamily,Lakefront Phase II,1140 E. 42nd Pl,60653,773-548-8795,"Urban Property Advisors, LLC",6,1184665.37978163,1877176.16214584,41.8181350367,-87.598096559,"{'latitude': '41.8181350367', 'longitude': '-87.598096559', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,10,2,4301,220
Near West Side,28,Multifamily,Newberry Park Apts.,1355 S. Blue Island Ave.,60608,312-563-0099,AIMCO,124,1168817.27786868,1893757.8411594,41.8639940988,-87.6557523872,"{'latitude': '41.8639940988', 'longitude': '-87.6557523872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,26,29,14920,760
Auburn Gresham,71,Senior,Senior Suites of Auburn-Gresham,1050 W. 79th St.,60620,773-723-0333,Senior Lifestyle Corp.,85,1170460.90053702,1852465.79546195,41.7506486193,-87.6509223206,"{'latitude': '41.7506486193', 'longitude': '-87.6509223206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,31,70,21554,487
North Center,5,Senior,North Center Senior Apts.,2324 W. Irving Park Road,60618,773-478-8900,"Metroplex, Inc.",60,1160064.90058082,1926543.18083148,41.9541446663,-87.6869750499,"{'latitude': '41.9541446663', 'longitude': '-87.6869750499', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13,18,46,21538,623
East Garfield Park,27,Supportive Housing,East Park Apts.,3300 W. Maypole Ave.,60624,773-826-3300,The Habitat Co.,152,1154287.33921223,1900828.12983435,41.8836980221,-87.7089025002,"{'latitude': '41.8836980221', 'longitude': '-87.7089025002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,23,28,21572,176
West Pullman,53,Supportive Housing,Hancock House,12045 S. Emerald Ave.,60628,773-568-3000,Source Works Development,90,1173523.53624852,1824810.06263597,41.6746900779,-87.6405148423,"{'latitude': '41.6746900779', 'longitude': '-87.6405148423', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,22,50,21861,60
Humboldt Park,23,Multifamily,La Estancia,3220 W. Division St.,60651,773-227-6332,Bickerdike Apts.,18,1154584.66294305,1907840.06106964,41.9029334898,-87.7076229238,"{'latitude': '41.9029334898', 'longitude': '-87.7076229238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,49,24,4299,455
North Lawndale,29,Multifamily,Park Douglas,1313-15 S. Fairfiled Ave.,60608,773-893-4800,Interstate Realty Management Co.,4,1158281.77714212,1893762.462565,41.8642284474,-87.694427661,"{'latitude': '41.8642284474', 'longitude': '-87.694427661', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,23,30,14920,16
Grand Boulevard,38,Supportive Housing,Washington Park SRO,5000 S. Indiana Ave.,60615,773-924-1107,"East Lake Management Group, Inc.",96,1178406.43677283,1871882.89557239,41.8037545212,-87.6212170565,"{'latitude': '41.8037545212', 'longitude': '-87.6212170565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,4,21192,449
Lower West Side,31,Multifamily,Resurrection Homes,2124 W. 19th St.,60608,312-666-1323,The Resurrection Project,5,1162389.31265717,1890761.08852357,41.8559075141,-87.6794329233,"{'latitude': '41.8559075141', 'longitude': '-87.6794329233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,26,33,14920,4
West Pullman,53,Senior,All Saints Senior Residence,11701 S. State St.,60628,312-655-7440,Catholic Charities Housing Devp.,42,1178389.49623181,1827364.13595576,41.6815900986,-87.6226276337,"{'latitude': '41.6815900986', 'longitude': '-87.6226276337', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,43,50,21861,229
Near South Side,33,Senior,Senior Suites of Central Station,1400 S. Indiana Ave.,60605,312-913-9333,Senior Lifestyle Corp.,276,1177842.09367839,1893842.68024195,41.8640266649,-87.622620427,"{'latitude': '41.8640266649', 'longitude': '-87.622620427', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,9,34,14913,374
Washington Park,40,Senior,St. Edmund's Tower Annex,6151 S. Michigan Ave.,60637,773-493-2411,St. Edmund's Redevelopment Corp.,34,1178260.93110499,1864074.92036189,41.7823319979,-87.6219876398,"{'latitude': '41.7823319979', 'longitude': '-87.6219876398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,4,7,22260,404
Grand Boulevard,38,Multifamily,Indiana Manor Town Homes,4427-33 S. Indiana Ave.,60653,773-268-5326,Indiana Manor Townhomes,87,1178382.51340629,1875605.78401452,41.8139709971,-87.6211916565,"{'latitude': '41.8139709971', 'longitude': '-87.6211916565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,4,4301,162
Uptown,3,Supportive Housing,Major Jenkins Apts.,5012 N. Winthrop Ave.,60640,773-506-3486,Mercy Housing,96,1167919.61523849,1933730.43801711,41.9737005572,-87.6578919355,"{'latitude': '41.9737005572', 'longitude': '-87.6578919355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",40,16,31,22616,634
Oakland,36,Multifamily,Lakefront Phase II,1128 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,1184422.55249004,1877469.62876748,41.8189460276,-87.5989781156,"{'latitude': '41.8189460276', 'longitude': '-87.5989781156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,10,2,4301,220
North Lawndale,29,Supportive/Youth/Kinship Families,Sankofa House,4041 W. Roosevelt Road,60624,773-257-8800,Interfaith Housing Corp.,32,1149479.82296279,1894358.78141787,41.8660400256,-87.7267241437,"{'latitude': '41.8660400256', 'longitude': '-87.7267241437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,14,30,21572,761
Uptown,3,ARO,Saxony Wilson,1630 W. Wilson Ave.,60640,312-243-5353,Malet Realty,2,,,,,,,,,,
Belmont Cragin,19,Senior,Cicero & George Elderly Apts.,4800 W. George St.,60641,312-291-5420,Hispanic Housing Dev. Corp.,70,1143845.6241982,1918889.67055813,41.9334629306,-87.7467922468,"{'latitude': '41.9334629306', 'longitude': '-87.7467922468', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,17,19,22618,355
Douglas,35,Multifamily,Park Boulevard IIA,17 W. 36th St.,60609,773-548-8792,"Urban Property Advisors, LLC",36,1176708.76672844,1881091.47870277,41.8290621083,-87.6271656778,"{'latitude': '41.8290621083', 'longitude': '-87.6271656778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,1,14924,353
Lakeview,6,ARO,The Bel,941 W. Belmont Ave.,60657,773-327-6146,33 Realty,4,,,,,,,,,,
West Town,24,Senior,North & Talman Elderly Apts.,1600 N. Talman Ave.,60647,773-486-7410,Hispanic Housing Dev. Corp.,24,1158416.97324626,1910568.8103786,41.9103438337,-87.6934713169,"{'latitude': '41.9103438337', 'longitude': '-87.6934713169', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,41,25,22535,299
Oakland,36,Multifamily,Lakefront Phase II,4143 S. Lake Park Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,1184153.69939648,1877418.81262803,41.8188128856,-87.5999659461,"{'latitude': '41.8188128856', 'longitude': '-87.5999659461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,10,2,4301,220
Englewood,68,People with Disabilities,Victoria Jennings Residences,624 W. 61st St.,60621,773-994-3690,"HSR Property Services, LLC",57,1173046.57462975,1864479.46972384,41.7835589092,-87.6410928975,"{'latitude': '41.7835589092', 'longitude': '-87.6410928975', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,2,66,21559,22
Woodlawn,42,Multifamily,Strand Hotel,6321 S. Cottage Grove Ave.,60637,312-274-9169,Holsten Real Estate Dev. Corp.,63,1182692.1634323,1863173.72934185,41.7797573036,-87.6057696255,"{'latitude': '41.7797573036', 'longitude': '-87.6057696255', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,4,9,22260,347
Lower West Side,31,Multifamily,Casa Oaxaca,1714 W. 19th St.,60608,312-666-1323,The Resurrection Project,25,1165132.94269897,1890827.82707157,41.8560328733,-87.6693605655,"{'latitude': '41.8560328733', 'longitude': '-87.6693605655', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,26,33,14920,343
West Town,24,ARO,Wicker Park Connection,1640 W. Division St.,60647,312-330-3210,rmk Management,20,,,,,,,,,,
North Lawndale,29,Multifamily,Park Douglas,1262-1300 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,7,1158531.93087019,1893930.09460845,41.8646833345,-87.6935047653,"{'latitude': '41.8646833345', 'longitude': '-87.6935047653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,23,30,14920,16
Avalon Park,45,Senior,Montclare Senior Residences of Avalon Park,1200 E. 78th St.,60619,773-933-9000,Montclare Senior Residences,102,1185587.74215785,1853564.45895793,41.7533208609,-87.5954564009,"{'latitude': '41.7533208609', 'longitude': '-87.5954564009', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,35,41,21546,133
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,528 N. Troy St.,60624,773-227-6332,Bickerdike Apts.,3,1155237.31558285,1903580.68498426,41.8912322799,-87.7053401173,"{'latitude': '41.8912322799', 'longitude': '-87.7053401173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,24,21184,177
Lincoln Square,4,ARO,2247 W. Lawrence Ave.,2247 W. Lawrence Ave.,60625,312-266-1515,CA Urban Living,2,,,,,,,,,,
Chicago Lawn,66,Senior,Lawn Terrace Apts.,3214 W. 63rd Pl,60629,773-925-2815,Greater Southwest Dev. Corp.,102,1155938.09204766,1862375.03146745,41.7781448626,-87.7038754099,"{'latitude': '41.7781448626', 'longitude': '-87.7038754099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44,31,64,21867,293
Grand Boulevard,38,Senior,Bronzeville Senior Apts.,460 E. 41st St.,60653,773-924-2100,Peoples Co-Op Management Service,97,1180219.19885135,1877957.21416565,41.8203815435,-87.6143824354,"{'latitude': '41.8203815435', 'longitude': '-87.6143824354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,4,4301,625
Near West Side,28,Multifamily,Westhaven Park Phase IIC,1939 W. Lake St.,60612,312-455-0009,Interstate Realty Management Co.,42,1163284.25735683,1901334.73659817,41.8849038015,-87.6758507682,"{'latitude': '41.8849038015', 'longitude': '-87.6758507682', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,29,21184,579
North Lawndale,29,Senior,Tabernacle Apts.,3836 W. Cermak Road,60623,773-762-3389,Lawndale Christian Residential Svcs.,126,1150987.19026707,1889144.74861114,41.8517027368,-87.7213268803,"{'latitude': '41.8517027368', 'longitude': '-87.7213268803', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,14,30,21569,752
Lower West Side,31,Multifamily,Casa Monterrey,967 W. 19th St.,60608,312-666-1323,The Resurrection Project,4,1170202.35608923,1891062.31286137,41.8565672424,-87.6507465232,"{'latitude': '41.8565672424', 'longitude': '-87.6507465232', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,26,33,14920,250
Washington Park,40,Multifamily,Michigan Plaza (St. Edmund's Plaza),5701 S. Michigan Ave.,60653,773-548-8924,Michigan Plaza LP,230,1178170.37078278,1867225.80412267,41.7909803898,-87.6222241137,"{'latitude': '41.7909803898', 'longitude': '-87.6222241137', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,4,7,22260,403
Edgewater,77,Senior,Pomeroy Apts.,5650 N. Kenmore Ave.,60660,773-275-7820,Habitat Company,198,1168181.12381684,1937918.40049523,41.9851867755,-87.656808677,"{'latitude': '41.9851867755', 'longitude': '-87.656808677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",40,16,76,4451,144
Grand Boulevard,38,Multigfamily,Cornerstone Apts.,731 E. 50th Pl,60615,312-577-5555,The Community Builders Inc.,24,1182124.43530242,1871654.41627889,41.803042216,-87.6075885068,"{'latitude': '41.803042216', 'longitude': '-87.6075885068', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,10,4,21192,165
South Shore,43,Multifamily,Highlands Tudor Manor,7018 S. Cregier Ave.,60649,773-667-1940,Related Management Co. LP,18,1189376.95360712,1858721.45235642,41.7673820796,-87.5814053802,"{'latitude': '41.7673820796', 'longitude': '-87.5814053802', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,33,39,22538,381
South Chicago,46,Multifamily,Casa Kirk,3200 E. 92nd St.,60617,773-734-2884,Interfaith Housing Corp.,112,1198941.10272959,1844604.27704711,41.7284087757,-87.546822457,"{'latitude': '41.7284087757', 'longitude': '-87.546822457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,47,42,21202,510
North Park,13,Senior,Edward M. Marx Apts.,5801 N. Pulaski Road,60646,773-583-4182,Elderly Housing Devp. & Operations Corp.,180,1148723.50103629,1938044.23656645,41.9859315142,-87.72836921,"{'latitude': '41.9859315142', 'longitude': '-87.72836921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,38,13,22532,747
Near South Side,33,Multifamily,Hilliard Homes Phase II,2031 S. Clark St.,60616,312-326-1455,Holsten Management Corp.,176,1175862.86574968,1890322.3611181,41.8544114001,-87.6299918764,"{'latitude': '41.8544114001', 'longitude': '-87.6299918764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,34,21194,330
Roseland,49,Supportive Housing,Holland Apartments,240 W. 107th Place,60628,773-568-3031,Mercy Housing,40,1176448.51184587,1833690.98593694,41.698995638,-87.6295434504,"{'latitude': '41.698995638', 'longitude': '-87.6295434504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,22,45,21861,524
Lakeview,6,Senior LGBTQ,Town Hall Apts.,3600 N. Halsted St.,60613,773-472-6463,Heartland Houing Inc.,79,1170240.93006957,1924164.84687441,41.947401735,-87.6496365844,"{'latitude': '41.947401735', 'longitude': '-87.6496365844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,25,57,21186,727
West Town,24,ARO,Seven 10 West,710 W. Grand Ave.,60654,414-369-3511,Outlook Management,1,1171305.69906443,1903732.36441458,41.8913106255,-87.6463244631,"{'latitude': '41.8913106255', 'longitude': '-87.6463244631', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,25,4446,109
Auburn Gresham,71,Supportive/Veterans,Veteran's New Beginnings,8132-44 S. Racine Ave.,60620,773-488-2317,"HSR Property Services, LLC",54,1169700.30702903,1850714.77788477,41.7458601099,-87.6537601722,"{'latitude': '41.7458601099', 'longitude': '-87.6537601722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,13,70,21554,575
Logan Square,22,ARO,2556 Armtiage LLC,2556 W. Armitage Ave,60647,773-252-0600,North Clybourn Group,1,,,,,,,,,,
West Town,24,Supportive Housing,Wicker Park Renaissance,1527-31 N. Wicker Park Ave.,60622,773-278-8602,"RRG Development, Inc.",102,1162934.3186359,1910028.94634624,41.9087687359,-87.6768915182,"{'latitude': '41.9087687359', 'longitude': '-87.6768915182', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,41,25,21560,481
East Garfield Park,27,Multifamily/Artists,Switching Station Lofts,15 S. Homan Ave.,60624,312-859-0577,Holsten Management Corp.,24,1153767.67803258,1899627.5293921,41.8804138115,-87.7108427298,"{'latitude': '41.8804138115', 'longitude': '-87.7108427298', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,23,28,21572,765
Washington Heights,73,Supportive Housing,Brainerd Park Apts.,8920 S. Loomis St.,60620,312-535-3157,Full Circle Management,4,,,,,,,,,,
Logan Square,22,Multifamily,Zapata Apts.,3503 W. Armitage Ave,60647,773-227-6332,Bickerdike Apartments,12,1152897.63447785,1913030.19290087,41.9172092811,-87.713682006,"{'latitude': '41.9172092811', 'longitude': '-87.713682006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,49,23,22535,351
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3118 W. Franklin Blvd.,60624,773-227-6332,Bickerdike Apts.,6,1155403.53191241,1903205.5310607,41.8901994819,-87.7047397754,"{'latitude': '41.8901994819', 'longitude': '-87.7047397754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,24,21184,177
Woodlawn,42,Multifamily,Dorchester Apts.,1410 E. 62nd St.,60637,773-572-5500,The Thresholds,67,1186722.40422274,1864209.57243815,41.7825052194,-87.5909616433,"{'latitude': '41.7825052194', 'longitude': '-87.5909616433', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,4,9,22260,469
Hegewisch,55,Senior,Senior Suites of Hegewisch,13550 S. Avenue O,60633,773-646-1333,Senior Lifestyle Corp.,116,1201038.05887492,1815487.73330301,41.6484574114,-87.540123166,"{'latitude': '41.6484574114', 'longitude': '-87.540123166', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,47,52,22250,787
South Lawndale,30,Multifamily,Casa Tabasco,3515-17 W. 23rd St.,60623,312-248-8355,The Resurrection Project,8,1153205.14864971,1888451.56193847,41.849756884,-87.713204726,"{'latitude': '41.849756884', 'longitude': '-87.713204726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14,28,32,21569,755
North Lawndale,29,Multifamily,Fountain View Apts.,1331 S. Independence Blvd.,60623,773-762-3389,Lawndale Christian Residential Svcs.,32,1151511.15780801,1893415.13316801,41.8634109156,-87.7192916814,"{'latitude': '41.8634109156', 'longitude': '-87.7192916814', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,14,30,21569,33
Humboldt Park,23,Multifamily,Rosa Parks Apts.,532 N. Trumbull Ave.,60624,773-227-6332,Bickerdike Apts.,15,1153240.18385878,1903567.26556071,41.8912353311,-87.7126750163,"{'latitude': '41.8912353311', 'longitude': '-87.7126750163', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,24,21572,584
Near South Side,33,Senior,Hilliard Homes Phase II,30 W. Cermak Road,60616,312-326-1466,Holsten Management Corp.,151,1176346.44120622,1889816.86140397,41.8530133902,-87.628232211,"{'latitude': '41.8530133902', 'longitude': '-87.628232211', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,34,21194,330
Uptown,3,Multifamily,Sunnyside Kenmore Apts.,847-49 W. Sunnyside Ave.,60640,773-769-3116,"Metroplex, Inc.",83,1169606.67765932,1930039.33609462,41.9635353994,-87.6517961908,"{'latitude': '41.9635353994', 'longitude': '-87.6517961908', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37,39,31,22616,20
Gage Park,63,Senior,Senior Suites of Gage Park,3244 W. 59th St.,60629,773-434-4333,Senior Lifestyle Corp.,59,1155572.42511543,1865354.40677861,41.786328045,-87.705136175,"{'latitude': '41.786328045', 'longitude': '-87.705136175', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",49,6,61,21867,801
Lower West Side,31,Senior,Casa Maravilla,2021 S. Morgan St.,60608,312-666-1323,The Resurrection Project,5,1170051.20827734,1890349.58661921,41.8546147585,-87.6513220922,"{'latitude': '41.8546147585', 'longitude': '-87.6513220922', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,26,33,14920,250
Near North Side,8,Supportive Housing,The Midwest/Carroll Park Apts.,1333 N. Kingsbury St.,60622,312-337-5339,Holsten Real Estate Dev. Corp.,40,1170359.45418965,1908979.92926057,41.9057310023,-87.6496459664,"{'latitude': '41.9057310023', 'longitude': '-87.6496459664', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,46,37,22620,108
Grand Boulevard,38,Multifamily,Cornerstone Apts.,4950 S. Langley Ave.,60615,312-577-5555,The Community Builders Inc.,21,1181729.29665755,1872129.61655719,41.8043553511,-87.6090229601,"{'latitude': '41.8043553511', 'longitude': '-87.6090229601', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,10,4,21192,165
West Town,24,Multifamily,Boulevard Court Family Housing,1723-33 N. Humboldt Blvd.,60647,773-486-7410,Hispanic Housing Dev. Corp.,52,1156143.31021572,1911450.18995512,41.9128086528,-87.701800063,"{'latitude': '41.9128086528', 'longitude': '-87.701800063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",15,49,25,22535,300
