DateKey,DateAltKey,CalendarYear,CalendarQuarter,MonthOfYear,MonthName,DayOfMonth,DayOfWeek,DayName,FiscalYear,FiscalQuarter
20120104,2012-01-04 00:00:00.000,2012,1,1,January,4,4,Wednesday,2012,3
20120105,2012-01-05 00:00:00.000,2012,1,1,January,5,5,Thursday,2012,3
20120106,2012-01-06 00:00:00.000,2012,1,1,January,6,6,Friday,2012,3
20120107,2012-01-07 00:00:00.000,2012,1,1,January,7,7,Saturday,2012,3
20120108,2012-01-08 00:00:00.000,2012,1,1,January,8,1,Sunday,2012,3
20120109,2012-01-09 00:00:00.000,2012,1,1,January,9,2,Monday,2012,3
20120110,2012-01-10 00:00:00.000,2012,1,1,January,10,3,Tuesday,2012,3
20120111,2012-01-11 00:00:00.000,2012,1,1,January,11,4,Wednesday,2012,3
20120112,2012-01-12 00:00:00.000,2012,1,1,January,12,5,Thursday,2012,3
20120113,2012-01-13 00:00:00.000,2012,1,1,January,13,6,Friday,2012,3
20120114,2012-01-14 00:00:00.000,2012,1,1,January,14,7,Saturday,2012,3
20120115,2012-01-15 00:00:00.000,2012,1,1,January,15,1,Sunday,2012,3
20120116,2012-01-16 00:00:00.000,2012,1,1,January,16,2,Monday,2012,3
20120117,2012-01-17 00:00:00.000,2012,1,1,January,17,3,Tuesday,2012,3
20120118,2012-01-18 00:00:00.000,2012,1,1,January,18,4,Wednesday,2012,3
20120119,2012-01-19 00:00:00.000,2012,1,1,January,19,5,Thursday,2012,3
20120120,2012-01-20 00:00:00.000,2012,1,1,January,20,6,Friday,2012,3
20120121,2012-01-21 00:00:00.000,2012,1,1,January,21,7,Saturday,2012,3
20120122,2012-01-22 00:00:00.000,2012,1,1,January,22,1,Sunday,2012,3
20120123,2012-01-23 00:00:00.000,2012,1,1,January,23,2,Monday,2012,3
20120124,2012-01-24 00:00:00.000,2012,1,1,January,24,3,Tuesday,2012,3
20120125,2012-01-25 00:00:00.000,2012,1,1,January,25,4,Wednesday,2012,3
20120126,2012-01-26 00:00:00.000,2012,1,1,January,26,5,Thursday,2012,3
20120127,2012-01-27 00:00:00.000,2012,1,1,January,27,6,Friday,2012,3
20120128,2012-01-28 00:00:00.000,2012,1,1,January,28,7,Saturday,2012,3
20120129,2012-01-29 00:00:00.000,2012,1,1,January,29,1,Sunday,2012,3
20120130,2012-01-30 00:00:00.000,2012,1,1,January,30,2,Monday,2012,3
20120131,2012-01-31 00:00:00.000,2012,1,1,January,31,3,Tuesday,2012,3
20120201,2012-02-01 00:00:00.000,2012,1,2,February,1,4,Wednesday,2012,3
20120202,2012-02-02 00:00:00.000,2012,1,2,February,2,5,Thursday,2012,3
20120203,2012-02-03 00:00:00.000,2012,1,2,February,3,6,Friday,2012,3
20120204,2012-02-04 00:00:00.000,2012,1,2,February,4,7,Saturday,2012,3
20120205,2012-02-05 00:00:00.000,2012,1,2,February,5,1,Sunday,2012,3
20120206,2012-02-06 00:00:00.000,2012,1,2,February,6,2,Monday,2012,3
20120207,2012-02-07 00:00:00.000,2012,1,2,February,7,3,Tuesday,2012,3
20120208,2012-02-08 00:00:00.000,2012,1,2,February,8,4,Wednesday,2012,3
20120209,2012-02-09 00:00:00.000,2012,1,2,February,9,5,Thursday,2012,3
20120210,2012-02-10 00:00:00.000,2012,1,2,February,10,6,Friday,2012,3
20120211,2012-02-11 00:00:00.000,2012,1,2,February,11,7,Saturday,2012,3
20120212,2012-02-12 00:00:00.000,2012,1,2,February,12,1,Sunday,2012,3
20120213,2012-02-13 00:00:00.000,2012,1,2,February,13,2,Monday,2012,3
20120214,2012-02-14 00:00:00.000,2012,1,2,February,14,3,Tuesday,2012,3
20120215,2012-02-15 00:00:00.000,2012,1,2,February,15,4,Wednesday,2012,3
20120216,2012-02-16 00:00:00.000,2012,1,2,February,16,5,Thursday,2012,3
20120217,2012-02-17 00:00:00.000,2012,1,2,February,17,6,Friday,2012,3
20120218,2012-02-18 00:00:00.000,2012,1,2,February,18,7,Saturday,2012,3
20120219,2012-02-19 00:00:00.000,2012,1,2,February,19,1,Sunday,2012,3
20120220,2012-02-20 00:00:00.000,2012,1,2,February,20,2,Monday,2012,3
20120221,2012-02-21 00:00:00.000,2012,1,2,February,21,3,Tuesday,2012,3
20120222,2012-02-22 00:00:00.000,2012,1,2,February,22,4,Wednesday,2012,3
20120223,2012-02-23 00:00:00.000,2012,1,2,February,23,5,Thursday,2012,3
20120224,2012-02-24 00:00:00.000,2012,1,2,February,24,6,Friday,2012,3
20120225,2012-02-25 00:00:00.000,2012,1,2,February,25,7,Saturday,2012,3
20120226,2012-02-26 00:00:00.000,2012,1,2,February,26,1,Sunday,2012,3
20120227,2012-02-27 00:00:00.000,2012,1,2,February,27,2,Monday,2012,3
20120228,2012-02-28 00:00:00.000,2012,1,2,February,28,3,Tuesday,2012,3
20120229,2012-02-29 00:00:00.000,2012,1,2,February,29,4,Wednesday,2012,3
20120301,2012-03-01 00:00:00.000,2012,1,3,March,1,5,Thursday,2012,3
20120302,2012-03-02 00:00:00.000,2012,1,3,March,2,6,Friday,2012,3
20120303,2012-03-03 00:00:00.000,2012,1,3,March,3,7,Saturday,2012,3
20120304,2012-03-04 00:00:00.000,2012,1,3,March,4,1,Sunday,2012,3
20120305,2012-03-05 00:00:00.000,2012,1,3,March,5,2,Monday,2012,3
20120306,2012-03-06 00:00:00.000,2012,1,3,March,6,3,Tuesday,2012,3
20120307,2012-03-07 00:00:00.000,2012,1,3,March,7,4,Wednesday,2012,3
20120308,2012-03-08 00:00:00.000,2012,1,3,March,8,5,Thursday,2012,3
20120309,2012-03-09 00:00:00.000,2012,1,3,March,9,6,Friday,2012,3
20120310,2012-03-10 00:00:00.000,2012,1,3,March,10,7,Saturday,2012,3
20120311,2012-03-11 00:00:00.000,2012,1,3,March,11,1,Sunday,2012,3
20120312,2012-03-12 00:00:00.000,2012,1,3,March,12,2,Monday,2012,3
20120313,2012-03-13 00:00:00.000,2012,1,3,March,13,3,Tuesday,2012,3
20120314,2012-03-14 00:00:00.000,2012,1,3,March,14,4,Wednesday,2012,3
20120315,2012-03-15 00:00:00.000,2012,1,3,March,15,5,Thursday,2012,3
20120316,2012-03-16 00:00:00.000,2012,1,3,March,16,6,Friday,2012,3
20120317,2012-03-17 00:00:00.000,2012,1,3,March,17,7,Saturday,2012,3
20120318,2012-03-18 00:00:00.000,2012,1,3,March,18,1,Sunday,2012,3
20120319,2012-03-19 00:00:00.000,2012,1,3,March,19,2,Monday,2012,3
20120320,2012-03-20 00:00:00.000,2012,1,3,March,20,3,Tuesday,2012,3
20120321,2012-03-21 00:00:00.000,2012,1,3,March,21,4,Wednesday,2012,3
20120322,2012-03-22 00:00:00.000,2012,1,3,March,22,5,Thursday,2012,3
20120323,2012-03-23 00:00:00.000,2012,1,3,March,23,6,Friday,2012,3
20120324,2012-03-24 00:00:00.000,2012,1,3,March,24,7,Saturday,2012,3
20120325,2012-03-25 00:00:00.000,2012,1,3,March,25,1,Sunday,2012,3
20120326,2012-03-26 00:00:00.000,2012,1,3,March,26,2,Monday,2012,3
20120327,2012-03-27 00:00:00.000,2012,1,3,March,27,3,Tuesday,2012,3
20120328,2012-03-28 00:00:00.000,2012,1,3,March,28,4,Wednesday,2012,3
20120330,2012-03-30 00:00:00.000,2012,1,3,March,30,6,Friday,2012,3
20120331,2012-03-31 00:00:00.000,2012,1,3,March,31,7,Saturday,2012,3
20120401,2012-04-01 00:00:00.000,2012,2,4,April,1,1,Sunday,2012,4
20120402,2012-04-02 00:00:00.000,2012,2,4,April,2,2,Monday,2012,4
20120403,2012-04-03 00:00:00.000,2012,2,4,April,3,3,Tuesday,2012,4
20120404,2012-04-04 00:00:00.000,2012,2,4,April,4,4,Wednesday,2012,4
20120405,2012-04-05 00:00:00.000,2012,2,4,April,5,5,Thursday,2012,4
20120406,2012-04-06 00:00:00.000,2012,2,4,April,6,6,Friday,2012,4
20120407,2012-04-07 00:00:00.000,2012,2,4,April,7,7,Saturday,2012,4
20120408,2012-04-08 00:00:00.000,2012,2,4,April,8,1,Sunday,2012,4
20120409,2012-04-09 00:00:00.000,2012,2,4,April,9,2,Monday,2012,4
20120410,2012-04-10 00:00:00.000,2012,2,4,April,10,3,Tuesday,2012,4
20120411,2012-04-11 00:00:00.000,2012,2,4,April,11,4,Wednesday,2012,4
20120412,2012-04-12 00:00:00.000,2012,2,4,April,12,5,Thursday,2012,4
20120413,2012-04-13 00:00:00.000,2012,2,4,April,13,6,Friday,2012,4
20120414,2012-04-14 00:00:00.000,2012,2,4,April,14,7,Saturday,2012,4
20120415,2012-04-15 00:00:00.000,2012,2,4,April,15,1,Sunday,2012,4
20120416,2012-04-16 00:00:00.000,2012,2,4,April,16,2,Monday,2012,4
20120417,2012-04-17 00:00:00.000,2012,2,4,April,17,3,Tuesday,2012,4
20120418,2012-04-18 00:00:00.000,2012,2,4,April,18,4,Wednesday,2012,4
20120419,2012-04-19 00:00:00.000,2012,2,4,April,19,5,Thursday,2012,4
20120420,2012-04-20 00:00:00.000,2012,2,4,April,20,6,Friday,2012,4
20120421,2012-04-21 00:00:00.000,2012,2,4,April,21,7,Saturday,2012,4
20120422,2012-04-22 00:00:00.000,2012,2,4,April,22,1,Sunday,2012,4
20120423,2012-04-23 00:00:00.000,2012,2,4,April,23,2,Monday,2012,4
20120424,2012-04-24 00:00:00.000,2012,2,4,April,24,3,Tuesday,2012,4
20120425,2012-04-25 00:00:00.000,2012,2,4,April,25,4,Wednesday,2012,4
20120426,2012-04-26 00:00:00.000,2012,2,4,April,26,5,Thursday,2012,4
20120427,2012-04-27 00:00:00.000,2012,2,4,April,27,6,Friday,2012,4
20120428,2012-04-28 00:00:00.000,2012,2,4,April,28,7,Saturday,2012,4
20120429,2012-04-29 00:00:00.000,2012,2,4,April,29,1,Sunday,2012,4
20120430,2012-04-30 00:00:00.000,2012,2,4,April,30,2,Monday,2012,4
20120501,2012-05-01 00:00:00.000,2012,2,5,May,1,3,Tuesday,2012,4
20120502,2012-05-02 00:00:00.000,2012,2,5,May,2,4,Wednesday,2012,4
20120503,2012-05-03 00:00:00.000,2012,2,5,May,3,5,Thursday,2012,4
20120504,2012-05-04 00:00:00.000,2012,2,5,May,4,6,Friday,2012,4
20120505,2012-05-05 00:00:00.000,2012,2,5,May,5,7,Saturday,2012,4
20120506,2012-05-06 00:00:00.000,2012,2,5,May,6,1,Sunday,2012,4
20120507,2012-05-07 00:00:00.000,2012,2,5,May,7,2,Monday,2012,4
20120508,2012-05-08 00:00:00.000,2012,2,5,May,8,3,Tuesday,2012,4
20120509,2012-05-09 00:00:00.000,2012,2,5,May,9,4,Wednesday,2012,4
20120510,2012-05-10 00:00:00.000,2012,2,5,May,10,5,Thursday,2012,4
20120511,2012-05-11 00:00:00.000,2012,2,5,May,11,6,Friday,2012,4
20120512,2012-05-12 00:00:00.000,2012,2,5,May,12,7,Saturday,2012,4
20120513,2012-05-13 00:00:00.000,2012,2,5,May,13,1,Sunday,2012,4
20120514,2012-05-14 00:00:00.000,2012,2,5,May,14,2,Monday,2012,4
20120515,2012-05-15 00:00:00.000,2012,2,5,May,15,3,Tuesday,2012,4
20120516,2012-05-16 00:00:00.000,2012,2,5,May,16,4,Wednesday,2012,4
20120517,2012-05-17 00:00:00.000,2012,2,5,May,17,5,Thursday,2012,4
20120518,2012-05-18 00:00:00.000,2012,2,5,May,18,6,Friday,2012,4
20120519,2012-05-19 00:00:00.000,2012,2,5,May,19,7,Saturday,2012,4
20120520,2012-05-20 00:00:00.000,2012,2,5,May,20,1,Sunday,2012,4
20120521,2012-05-21 00:00:00.000,2012,2,5,May,21,2,Monday,2012,4
20120522,2012-05-22 00:00:00.000,2012,2,5,May,22,3,Tuesday,2012,4
20120523,2012-05-23 00:00:00.000,2012,2,5,May,23,4,Wednesday,2012,4
20120524,2012-05-24 00:00:00.000,2012,2,5,May,24,5,Thursday,2012,4
20120525,2012-05-25 00:00:00.000,2012,2,5,May,25,6,Friday,2012,4
20120526,2012-05-26 00:00:00.000,2012,2,5,May,26,7,Saturday,2012,4
20120527,2012-05-27 00:00:00.000,2012,2,5,May,27,1,Sunday,2012,4
20120528,2012-05-28 00:00:00.000,2012,2,5,May,28,2,Monday,2012,4
20120529,2012-05-29 00:00:00.000,2012,2,5,May,29,3,Tuesday,2012,4
20120530,2012-05-30 00:00:00.000,2012,2,5,May,30,4,Wednesday,2012,4
20120531,2012-05-31 00:00:00.000,2012,2,5,May,31,5,Thursday,2012,4
20120601,2012-06-01 00:00:00.000,2012,2,6,June,1,6,Friday,2012,4
20120602,2012-06-02 00:00:00.000,2012,2,6,June,2,7,Saturday,2012,4
20120603,2012-06-03 00:00:00.000,2012,2,6,June,3,1,Sunday,2012,4
20120604,2012-06-04 00:00:00.000,2012,2,6,June,4,2,Monday,2012,4
20120605,2012-06-05 00:00:00.000,2012,2,6,June,5,3,Tuesday,2012,4
20120606,2012-06-06 00:00:00.000,2012,2,6,June,6,4,Wednesday,2012,4
20120607,2012-06-07 00:00:00.000,2012,2,6,June,7,5,Thursday,2012,4
20120608,2012-06-08 00:00:00.000,2012,2,6,June,8,6,Friday,2012,4
20120609,2012-06-09 00:00:00.000,2012,2,6,June,9,7,Saturday,2012,4
20120610,2012-06-10 00:00:00.000,2012,2,6,June,10,1,Sunday,2012,4
20120611,2012-06-11 00:00:00.000,2012,2,6,June,11,2,Monday,2012,4
20120612,2012-06-12 00:00:00.000,2012,2,6,June,12,3,Tuesday,2012,4
20120613,2012-06-13 00:00:00.000,2012,2,6,June,13,4,Wednesday,2012,4
20120614,2012-06-14 00:00:00.000,2012,2,6,June,14,5,Thursday,2012,4
20120615,2012-06-15 00:00:00.000,2012,2,6,June,15,6,Friday,2012,4
20120616,2012-06-16 00:00:00.000,2012,2,6,June,16,7,Saturday,2012,4
20120617,2012-06-17 00:00:00.000,2012,2,6,June,17,1,Sunday,2012,4
20120618,2012-06-18 00:00:00.000,2012,2,6,June,18,2,Monday,2012,4
20120619,2012-06-19 00:00:00.000,2012,2,6,June,19,3,Tuesday,2012,4
20120620,2012-06-20 00:00:00.000,2012,2,6,June,20,4,Wednesday,2012,4
20120621,2012-06-21 00:00:00.000,2012,2,6,June,21,5,Thursday,2012,4
20120622,2012-06-22 00:00:00.000,2012,2,6,June,22,6,Friday,2012,4
20120623,2012-06-23 00:00:00.000,2012,2,6,June,23,7,Saturday,2012,4
20120624,2012-06-24 00:00:00.000,2012,2,6,June,24,1,Sunday,2012,4
20120625,2012-06-25 00:00:00.000,2012,2,6,June,25,2,Monday,2012,4
20120626,2012-06-26 00:00:00.000,2012,2,6,June,26,3,Tuesday,2012,4
20120627,2012-06-27 00:00:00.000,2012,2,6,June,27,4,Wednesday,2012,4
20120628,2012-06-28 00:00:00.000,2012,2,6,June,28,5,Thursday,2012,4
20120629,2012-06-29 00:00:00.000,2012,2,6,June,29,6,Friday,2012,4
20120630,2012-06-30 00:00:00.000,2012,2,6,June,30,7,Saturday,2012,4
20120701,2012-07-01 00:00:00.000,2012,3,7,July,1,1,Sunday,2013,1
20120702,2012-07-02 00:00:00.000,2012,3,7,July,2,2,Monday,2013,1
20120703,2012-07-03 00:00:00.000,2012,3,7,July,3,3,Tuesday,2013,1
20120704,2012-07-04 00:00:00.000,2012,3,7,July,4,4,Wednesday,2013,1
20120705,2012-07-05 00:00:00.000,2012,3,7,July,5,5,Thursday,2013,1
20120706,2012-07-06 00:00:00.000,2012,3,7,July,6,6,Friday,2013,1
20180123,2018-01-23 00:00:00.000,2018,1,1,January,23,3,Tuesday,2018,3
20180124,2018-01-24 00:00:00.000,2018,1,1,January,24,4,Wednesday,2018,3
20180125,2018-01-25 00:00:00.000,2018,1,1,January,25,5,Thursday,2018,3
20180126,2018-01-26 00:00:00.000,2018,1,1,January,26,6,Friday,2018,3
20180127,2018-01-27 00:00:00.000,2018,1,1,January,27,7,Saturday,2018,3
20180128,2018-01-28 00:00:00.000,2018,1,1,January,28,1,Sunday,2018,3
20180129,2018-01-29 00:00:00.000,2018,1,1,January,29,2,Monday,2018,3
20180130,2018-01-30 00:00:00.000,2018,1,1,January,30,3,Tuesday,2018,3
20180131,2018-01-31 00:00:00.000,2018,1,1,January,31,4,Wednesday,2018,3
20180201,2018-02-01 00:00:00.000,2018,1,2,February,1,5,Thursday,2018,3
20180202,2018-02-02 00:00:00.000,2018,1,2,February,2,6,Friday,2018,3
20180203,2018-02-03 00:00:00.000,2018,1,2,February,3,7,Saturday,2018,3
20180204,2018-02-04 00:00:00.000,2018,1,2,February,4,1,Sunday,2018,3
20180205,2018-02-05 00:00:00.000,2018,1,2,February,5,2,Monday,2018,3
20180206,2018-02-06 00:00:00.000,2018,1,2,February,6,3,Tuesday,2018,3
20180207,2018-02-07 00:00:00.000,2018,1,2,February,7,4,Wednesday,2018,3
20180208,2018-02-08 00:00:00.000,2018,1,2,February,8,5,Thursday,2018,3
20180209,2018-02-09 00:00:00.000,2018,1,2,February,9,6,Friday,2018,3
20180210,2018-02-10 00:00:00.000,2018,1,2,February,10,7,Saturday,2018,3
20180211,2018-02-11 00:00:00.000,2018,1,2,February,11,1,Sunday,2018,3
20180212,2018-02-12 00:00:00.000,2018,1,2,February,12,2,Monday,2018,3
20180213,2018-02-13 00:00:00.000,2018,1,2,February,13,3,Tuesday,2018,3
20180214,2018-02-14 00:00:00.000,2018,1,2,February,14,4,Wednesday,2018,3
20180215,2018-02-15 00:00:00.000,2018,1,2,February,15,5,Thursday,2018,3
20180216,2018-02-16 00:00:00.000,2018,1,2,February,16,6,Friday,2018,3
20180217,2018-02-17 00:00:00.000,2018,1,2,February,17,7,Saturday,2018,3
20180218,2018-02-18 00:00:00.000,2018,1,2,February,18,1,Sunday,2018,3
20180219,2018-02-19 00:00:00.000,2018,1,2,February,19,2,Monday,2018,3
20180220,2018-02-20 00:00:00.000,2018,1,2,February,20,3,Tuesday,2018,3
20180221,2018-02-21 00:00:00.000,2018,1,2,February,21,4,Wednesday,2018,3
20180222,2018-02-22 00:00:00.000,2018,1,2,February,22,5,Thursday,2018,3
20180223,2018-02-23 00:00:00.000,2018,1,2,February,23,6,Friday,2018,3
20180224,2018-02-24 00:00:00.000,2018,1,2,February,24,7,Saturday,2018,3
20180225,2018-02-25 00:00:00.000,2018,1,2,February,25,1,Sunday,2018,3
20180226,2018-02-26 00:00:00.000,2018,1,2,February,26,2,Monday,2018,3
20180227,2018-02-27 00:00:00.000,2018,1,2,February,27,3,Tuesday,2018,3
20180228,2018-02-28 00:00:00.000,2018,1,2,February,28,4,Wednesday,2018,3
20180301,2018-03-01 00:00:00.000,2018,1,3,March,1,5,Thursday,2018,3
20180302,2018-03-02 00:00:00.000,2018,1,3,March,2,6,Friday,2018,3
20180303,2018-03-03 00:00:00.000,2018,1,3,March,3,7,Saturday,2018,3
20180304,2018-03-04 00:00:00.000,2018,1,3,March,4,1,Sunday,2018,3
20180305,2018-03-05 00:00:00.000,2018,1,3,March,5,2,Monday,2018,3
20180306,2018-03-06 00:00:00.000,2018,1,3,March,6,3,Tuesday,2018,3
20180307,2018-03-07 00:00:00.000,2018,1,3,March,7,4,Wednesday,2018,3
20180308,2018-03-08 00:00:00.000,2018,1,3,March,8,5,Thursday,2018,3
20180309,2018-03-09 00:00:00.000,2018,1,3,March,9,6,Friday,2018,3
20180310,2018-03-10 00:00:00.000,2018,1,3,March,10,7,Saturday,2018,3
20180311,2018-03-11 00:00:00.000,2018,1,3,March,11,1,Sunday,2018,3
20180312,2018-03-12 00:00:00.000,2018,1,3,March,12,2,Monday,2018,3
20180313,2018-03-13 00:00:00.000,2018,1,3,March,13,3,Tuesday,2018,3
20180314,2018-03-14 00:00:00.000,2018,1,3,March,14,4,Wednesday,2018,3
20180315,2018-03-15 00:00:00.000,2018,1,3,March,15,5,Thursday,2018,3
20180316,2018-03-16 00:00:00.000,2018,1,3,March,16,6,Friday,2018,3
20180317,2018-03-17 00:00:00.000,2018,1,3,March,17,7,Saturday,2018,3
20180318,2018-03-18 00:00:00.000,2018,1,3,March,18,1,Sunday,2018,3
20180319,2018-03-19 00:00:00.000,2018,1,3,March,19,2,Monday,2018,3
20180320,2018-03-20 00:00:00.000,2018,1,3,March,20,3,Tuesday,2018,3
20180321,2018-03-21 00:00:00.000,2018,1,3,March,21,4,Wednesday,2018,3
20180322,2018-03-22 00:00:00.000,2018,1,3,March,22,5,Thursday,2018,3
20180323,2018-03-23 00:00:00.000,2018,1,3,March,23,6,Friday,2018,3
20180324,2018-03-24 00:00:00.000,2018,1,3,March,24,7,Saturday,2018,3
20180325,2018-03-25 00:00:00.000,2018,1,3,March,25,1,Sunday,2018,3
20180326,2018-03-26 00:00:00.000,2018,1,3,March,26,2,Monday,2018,3
20180327,2018-03-27 00:00:00.000,2018,1,3,March,27,3,Tuesday,2018,3
20180328,2018-03-28 00:00:00.000,2018,1,3,March,28,4,Wednesday,2018,3
20180329,2018-03-29 00:00:00.000,2018,1,3,March,29,5,Thursday,2018,3
20180330,2018-03-30 00:00:00.000,2018,1,3,March,30,6,Friday,2018,3
20180331,2018-03-31 00:00:00.000,2018,1,3,March,31,7,Saturday,2018,3
20180401,2018-04-01 00:00:00.000,2018,2,4,April,1,1,Sunday,2018,4
20180402,2018-04-02 00:00:00.000,2018,2,4,April,2,2,Monday,2018,4
20180403,2018-04-03 00:00:00.000,2018,2,4,April,3,3,Tuesday,2018,4
20180404,2018-04-04 00:00:00.000,2018,2,4,April,4,4,Wednesday,2018,4
20180405,2018-04-05 00:00:00.000,2018,2,4,April,5,5,Thursday,2018,4
20180406,2018-04-06 00:00:00.000,2018,2,4,April,6,6,Friday,2018,4
20180407,2018-04-07 00:00:00.000,2018,2,4,April,7,7,Saturday,2018,4
20180408,2018-04-08 00:00:00.000,2018,2,4,April,8,1,Sunday,2018,4
20180409,2018-04-09 00:00:00.000,2018,2,4,April,9,2,Monday,2018,4
20180410,2018-04-10 00:00:00.000,2018,2,4,April,10,3,Tuesday,2018,4
20180411,2018-04-11 00:00:00.000,2018,2,4,April,11,4,Wednesday,2018,4
20180412,2018-04-12 00:00:00.000,2018,2,4,April,12,5,Thursday,2018,4
20180413,2018-04-13 00:00:00.000,2018,2,4,April,13,6,Friday,2018,4
20180414,2018-04-14 00:00:00.000,2018,2,4,April,14,7,Saturday,2018,4
20180415,2018-04-15 00:00:00.000,2018,2,4,April,15,1,Sunday,2018,4
20180416,2018-04-16 00:00:00.000,2018,2,4,April,16,2,Monday,2018,4
20180417,2018-04-17 00:00:00.000,2018,2,4,April,17,3,Tuesday,2018,4
20180418,2018-04-18 00:00:00.000,2018,2,4,April,18,4,Wednesday,2018,4
20180419,2018-04-19 00:00:00.000,2018,2,4,April,19,5,Thursday,2018,4
20180420,2018-04-20 00:00:00.000,2018,2,4,April,20,6,Friday,2018,4
20180421,2018-04-21 00:00:00.000,2018,2,4,April,21,7,Saturday,2018,4
20180422,2018-04-22 00:00:00.000,2018,2,4,April,22,1,Sunday,2018,4
20180423,2018-04-23 00:00:00.000,2018,2,4,April,23,2,Monday,2018,4
20180424,2018-04-24 00:00:00.000,2018,2,4,April,24,3,Tuesday,2018,4
20180425,2018-04-25 00:00:00.000,2018,2,4,April,25,4,Wednesday,2018,4
20180426,2018-04-26 00:00:00.000,2018,2,4,April,26,5,Thursday,2018,4
20180427,2018-04-27 00:00:00.000,2018,2,4,April,27,6,Friday,2018,4
20180428,2018-04-28 00:00:00.000,2018,2,4,April,28,7,Saturday,2018,4
20180429,2018-04-29 00:00:00.000,2018,2,4,April,29,1,Sunday,2018,4
20180430,2018-04-30 00:00:00.000,2018,2,4,April,30,2,Monday,2018,4
20180501,2018-05-01 00:00:00.000,2018,2,5,May,1,3,Tuesday,2018,4
20180502,2018-05-02 00:00:00.000,2018,2,5,May,2,4,Wednesday,2018,4
20180503,2018-05-03 00:00:00.000,2018,2,5,May,3,5,Thursday,2018,4
20180504,2018-05-04 00:00:00.000,2018,2,5,May,4,6,Friday,2018,4
20180505,2018-05-05 00:00:00.000,2018,2,5,May,5,7,Saturday,2018,4
20180506,2018-05-06 00:00:00.000,2018,2,5,May,6,1,Sunday,2018,4
20180507,2018-05-07 00:00:00.000,2018,2,5,May,7,2,Monday,2018,4
20180508,2018-05-08 00:00:00.000,2018,2,5,May,8,3,Tuesday,2018,4
20180509,2018-05-09 00:00:00.000,2018,2,5,May,9,4,Wednesday,2018,4
20180510,2018-05-10 00:00:00.000,2018,2,5,May,10,5,Thursday,2018,4
20180511,2018-05-11 00:00:00.000,2018,2,5,May,11,6,Friday,2018,4
20180512,2018-05-12 00:00:00.000,2018,2,5,May,12,7,Saturday,2018,4
20180513,2018-05-13 00:00:00.000,2018,2,5,May,13,1,Sunday,2018,4
20180514,2018-05-14 00:00:00.000,2018,2,5,May,14,2,Monday,2018,4
20180515,2018-05-15 00:00:00.000,2018,2,5,May,15,3,Tuesday,2018,4
20180516,2018-05-16 00:00:00.000,2018,2,5,May,16,4,Wednesday,2018,4
20180517,2018-05-17 00:00:00.000,2018,2,5,May,17,5,Thursday,2018,4
20180518,2018-05-18 00:00:00.000,2018,2,5,May,18,6,Friday,2018,4
20180519,2018-05-19 00:00:00.000,2018,2,5,May,19,7,Saturday,2018,4
20180520,2018-05-20 00:00:00.000,2018,2,5,May,20,1,Sunday,2018,4
20180521,2018-05-21 00:00:00.000,2018,2,5,May,21,2,Monday,2018,4
20180522,2018-05-22 00:00:00.000,2018,2,5,May,22,3,Tuesday,2018,4
20180523,2018-05-23 00:00:00.000,2018,2,5,May,23,4,Wednesday,2018,4
20180524,2018-05-24 00:00:00.000,2018,2,5,May,24,5,Thursday,2018,4
20180525,2018-05-25 00:00:00.000,2018,2,5,May,25,6,Friday,2018,4
20180526,2018-05-26 00:00:00.000,2018,2,5,May,26,7,Saturday,2018,4
20180527,2018-05-27 00:00:00.000,2018,2,5,May,27,1,Sunday,2018,4
20180528,2018-05-28 00:00:00.000,2018,2,5,May,28,2,Monday,2018,4
20180529,2018-05-29 00:00:00.000,2018,2,5,May,29,3,Tuesday,2018,4
20180530,2018-05-30 00:00:00.000,2018,2,5,May,30,4,Wednesday,2018,4
20180531,2018-05-31 00:00:00.000,2018,2,5,May,31,5,Thursday,2018,4
20180601,2018-06-01 00:00:00.000,2018,2,6,June,1,6,Friday,2018,4
20180602,2018-06-02 00:00:00.000,2018,2,6,June,2,7,Saturday,2018,4
20180603,2018-06-03 00:00:00.000,2018,2,6,June,3,1,Sunday,2018,4
20180604,2018-06-04 00:00:00.000,2018,2,6,June,4,2,Monday,2018,4
20180605,2018-06-05 00:00:00.000,2018,2,6,June,5,3,Tuesday,2018,4
20180606,2018-06-06 00:00:00.000,2018,2,6,June,6,4,Wednesday,2018,4
20180607,2018-06-07 00:00:00.000,2018,2,6,June,7,5,Thursday,2018,4
20180608,2018-06-08 00:00:00.000,2018,2,6,June,8,6,Friday,2018,4
20180609,2018-06-09 00:00:00.000,2018,2,6,June,9,7,Saturday,2018,4
20180610,2018-06-10 00:00:00.000,2018,2,6,June,10,1,Sunday,2018,4
20180611,2018-06-11 00:00:00.000,2018,2,6,June,11,2,Monday,2018,4
20180612,2018-06-12 00:00:00.000,2018,2,6,June,12,3,Tuesday,2018,4
20180613,2018-06-13 00:00:00.000,2018,2,6,June,13,4,Wednesday,2018,4
20180614,2018-06-14 00:00:00.000,2018,2,6,June,14,5,Thursday,2018,4
20180615,2018-06-15 00:00:00.000,2018,2,6,June,15,6,Friday,2018,4
20180616,2018-06-16 00:00:00.000,2018,2,6,June,16,7,Saturday,2018,4
20180617,2018-06-17 00:00:00.000,2018,2,6,June,17,1,Sunday,2018,4
20180618,2018-06-18 00:00:00.000,2018,2,6,June,18,2,Monday,2018,4
